Year,City_avg_temp,Global_avg_temp,Pune MA,Global MA,,,,
1796,24.39,8.27,,,,,,
1797,25.17,8.51,,,,,,
1798,24.05,8.67,,,,,,
1799,24.68,8.51,,,,,,
1800,24.67,8.48,,,,,,
1801,23.94,8.59,,,,,,
1802,25.18,8.58,,,,,,
1803,24.95,8.5,,,,,,
1804,25.33,8.84,,,,,,
1805,24.8,8.56,24.716,8.551,,,,
1806,24.68,8.43,24.745,8.567,,,,
1807,24,8.28,24.628,8.544,,,,
1808,,7.63,24.69222222,8.44,,,,
1809,,7.08,24.69375,8.297,,,,
1810,,6.92,24.69714286,8.141,,,,
1811,,6.86,24.82333333,7.968,,,,
1812,,7.05,24.752,7.815,,,,
1813,24.03,7.74,24.568,7.739,,,,
1814,23.49,7.59,24.2,7.614,,,,
1815,23.58,7.24,23.956,7.482,,,,
1816,23.13,6.94,23.646,7.333,,,,
1817,23.37,6.98,23.52,7.203,,,,
1818,23.8,7.83,23.56666667,7.223,,,,
1819,23.54,7.37,23.56285714,7.252,,,,
1820,23.67,7.62,23.57625,7.322,,,,
1821,24.24,8.09,23.65,7.445,,,,
1822,24.25,8.19,23.71,7.559,,,,
1823,24.28,7.72,23.735,7.557,,,,
1824,24.84,8.55,23.87,7.653,,,,Observations
1825,24.54,8.39,23.966,7.768,,,,
1826,24.64,8.36,24.117,7.91,,,,
1827,24.64,8.81,24.244,8.093,,,1),We have used the following SQL code to extract the data:
1828,24.4,8.17,24.304,8.127,,,,
1829,24.23,7.94,24.373,8.184,,,,"SELECT city_data.year, city_data.city, city_data.avg_temp City_Avg_Temp, global_data.avg_temp Global_Avg_temp"
1830,24.36,8.52,24.442,8.274,,,,FROM city_data
1831,24.08,7.64,24.426,8.229,,,,JOIN global_data
1832,24.29,7.45,24.43,8.155,,,,ON global_data.year=city_data.year
1833,24.29,8.01,24.431,8.184,,,,Where city_data.city = 'Pune';
1834,24.36,8.15,24.383,8.144,,,,
1835,23.56,7.39,24.285,8.044,,,,And used Excel sheet to prepare the Line chart
1836,23.96,7.7,24.217,7.978,,,,
1837,23.92,7.38,24.145,7.835,,,2),We have taken 10-years moving average to calculate the city average temperature and the global average temperature. This has been possible by using the AVERAGE() function for a set of successive  10 years. The resultant moving average is depicted by the Pune MA and Global MA columns of the excel sheet.
1838,23.99,7.51,24.104,7.769,,,,
1839,24.04,7.63,24.085,7.738,,,3),There were two key considerations while visualizing the trends- Moving Average and Line Chart.
1840,24.12,7.8,24.061,7.666,,,,
1841,23.87,7.69,24.04,7.671,,,4),a) Pune is hotter on average compared to the global average. The difference between the two has been somewhat consistant ranging between 15 to 17 degrees(approx).
1842,24.18,8.02,24.029,7.728,,,,b) There has been minor changes in the city's Avg Temperature as well as the Global Avg Temperature.
1843,23.92,8.17,23.992,7.744,,,,"c)According to the Line chart, the world is getting hotter. This trend has been consistent over the last few hundred years. "
1844,23.88,7.65,23.944,7.694,,,,"d)Though the changes in the average temperatures of the city and the globe are small,  this slow but gradual increase in the temperatures points towards the threat of global warming.  "
1845,24.17,7.85,24.005,7.74,,,,
1846,24.69,8.55,24.078,7.825,,,,
1847,24.15,8.09,24.101,7.896,,,,
1848,24.15,7.98,24.117,7.943,,,,
1849,24.07,7.98,24.12,7.978,,,,
1850,24.23,7.9,24.131,7.988,,,,
1851,24.16,8.18,24.16,8.037,,,,
1852,24.2,8.1,24.162,8.045,,,,
1853,24.41,8.04,24.211,8.032,,,,
1854,24.53,8.21,24.276,8.088,,,,
1855,24.55,8.11,24.314,8.114,,,,
1856,24.04,8,24.249,8.059,,,,
1857,23.69,7.76,24.203,8.026,,,,
1858,24.35,8.1,24.223,8.038,,,,
1859,24.41,8.25,24.257,8.065,,,,
1860,24.19,7.96,24.253,8.071,,,,
1861,24.06,7.85,24.243,8.038,,,,
1862,21.86,7.56,24.009,7.984,,,,
1863,,8.11,23.96444444,7.991,,,,
1864,,7.98,23.89375,7.968,,,,
1865,24.64,8.18,23.905,7.975,,,,
1866,24.65,8.29,23.98125,8.004,,,,
1867,24.69,8.44,24.10625,8.072,,,,
1868,24.61,8.25,24.13875,8.087,,,,
1869,24.66,8.43,24.17,8.105,,,,
1870,24.28,8.2,24.18125,8.129,,,,
1871,24.31,8.12,24.2125,8.156,,,,
1872,24.32,8.19,24.52,8.219,,,,
1873,24.4,8.35,24.50666667,8.243,,,,
1874,24.42,8.43,24.498,8.288,,,,
1875,24.49,7.86,24.483,8.256,,,,
1876,24.89,8.08,24.507,8.235,,,,
1877,25.13,8.54,24.551,8.245,,,,
1878,25.07,8.83,24.597,8.303,,,,
1879,24.03,8.17,24.534,8.277,,,,
1880,24.57,8.12,24.563,8.269,,,,
1881,24.51,8.27,24.583,8.284,,,,
1882,24.29,8.13,24.58,8.278,,,,
1883,23.89,7.98,24.529,8.241,,,,
1884,23.94,7.77,24.481,8.175,,,,
1885,24.34,7.92,24.466,8.181,,,,
1886,24.42,7.95,24.419,8.168,,,,
1887,23.94,7.91,24.3,8.105,,,,
1888,24.72,8.09,24.265,8.031,,,,
1889,24.74,8.32,24.336,8.046,,,,
1890,24.51,7.97,24.33,8.031,,,,
1891,24.64,8.02,24.343,8.006,,,,
1892,24.7,8.07,24.384,8,,,,
1893,23.89,8.06,24.384,8.008,,,,
1894,24.55,8.16,24.445,8.047,,,,
1895,24.6,8.15,24.471,8.07,,,,
1896,25.29,8.21,24.558,8.096,,,,
1897,25.01,8.29,24.665,8.134,,,,
1898,24.89,8.18,24.682,8.143,,,,
1899,24.95,8.4,24.703,8.151,,,,
1900,25.29,8.5,24.781,8.204,,,,
1901,24.81,8.54,24.798,8.256,,,,
1902,25.35,8.3,24.863,8.279,,,,
1903,24.41,8.22,24.915,8.295,,,,
1904,24.69,8.09,24.929,8.288,,,,
1905,24.45,8.23,24.914,8.296,,,,
1906,24.51,8.38,24.836,8.313,,,,
1907,24.49,7.95,24.784,8.279,,,,
1908,24.3,8.19,24.725,8.28,,,,
1909,24.47,8.18,24.677,8.258,,,,
1910,24.22,8.22,24.57,8.23,,,,
1911,24.78,8.18,24.567,8.194,,,,
1912,25.01,8.17,24.533,8.181,,,,
1913,24.64,8.3,24.556,8.189,,,,
1914,24.69,8.59,24.556,8.239,,,,
1915,24.79,8.59,24.59,8.275,,,,
1916,24.59,8.23,24.598,8.26,,,,
1917,23.91,8.02,24.54,8.267,,,,
1918,24.76,8.13,24.586,8.261,,,,
1919,24.78,8.38,24.617,8.281,,,,
1920,24.87,8.36,24.682,8.295,,,,
1921,24.77,8.57,24.681,8.334,,,,
1922,24.57,8.41,24.637,8.358,,,,
1923,24.56,8.42,24.629,8.37,,,,
1924,24.87,8.51,24.647,8.362,,,,
1925,24.61,8.53,24.629,8.356,,,,
1926,24.86,8.73,24.656,8.406,,,,
1927,24.54,8.52,24.719,8.456,,,,
1928,24.71,8.63,24.714,8.506,,,,
1929,24.84,8.24,24.72,8.492,,,,
1930,24.61,8.63,24.694,8.519,,,,
1931,24.88,8.72,24.705,8.534,,,,
1932,24.59,8.71,24.707,8.564,,,,
1933,24.38,8.34,24.689,8.556,,,,
1934,24.26,8.63,24.628,8.568,,,,
1935,24.37,8.52,24.604,8.567,,,,
1936,24.67,8.55,24.585,8.549,,,,
1937,24.43,8.7,24.574,8.567,,,,
1938,24.34,8.86,24.537,8.59,,,,
1939,24.6,8.76,24.513,8.642,,,,
1940,24.59,8.76,24.511,8.655,,,,
1941,25.57,8.77,24.58,8.66,,,,
1942,25,8.73,24.621,8.662,,,,
1943,24.48,8.76,24.631,8.704,,,,
1944,24.75,8.85,24.68,8.726,,,,
1945,24.4,8.58,24.683,8.732,,,,
1946,24.76,8.68,24.692,8.745,,,,
1947,24.79,8.8,24.728,8.755,,,,
1948,25.06,8.75,24.8,8.744,,,,
1949,24.82,8.59,24.822,8.727,,,,
1950,24.54,8.37,24.817,8.688,,,,
1951,24.98,8.63,24.758,8.674,,,,
1952,24.98,8.64,24.756,8.665,,,,
1953,25.09,8.87,24.817,8.676,,,,
1954,24.68,8.56,24.81,8.647,,,,
1955,24.68,8.63,24.838,8.652,,,,
1956,24.5,8.28,24.812,8.612,,,,
1957,24.95,8.73,24.828,8.605,,,,
1958,25.28,8.77,24.85,8.607,,,,
1959,25.11,8.73,24.879,8.621,,,,
1960,25.02,8.58,24.927,8.642,,,,
1961,24.66,8.8,24.895,8.659,,,,
1962,24.66,8.75,24.863,8.67,,,,
1963,24.8,8.86,24.834,8.669,,,,
1964,24.63,8.41,24.829,8.654,,,,
1965,24.96,8.53,24.857,8.644,,,,
1966,25.26,8.6,24.933,8.676,,,,
1967,25.05,8.7,24.943,8.673,,,,
1968,24.68,8.52,24.883,8.648,,,,
1969,25.37,8.6,24.909,8.635,,,,
1970,24.74,8.7,24.881,8.647,,,,
1971,24.54,8.6,24.869,8.627,,,,
1972,25.31,8.5,24.934,8.602,,,,
1973,25.18,8.95,24.972,8.611,,,,
1974,24.87,8.47,24.996,8.617,,,,
1975,24.47,8.74,24.947,8.638,,,,
1976,25.05,8.35,24.926,8.613,,,,
1977,25.3,8.85,24.951,8.628,,,,
1978,24.81,8.69,24.964,8.645,,,,
1979,25.28,8.73,24.955,8.658,,,,
1980,25.33,8.98,25.014,8.686,,,,
1981,25,9.17,25.06,8.743,,,,
1982,25.21,8.64,25.05,8.757,,,,
1983,24.7,9.03,25.002,8.765,,,,
1984,24.99,8.69,25.014,8.787,,,,
1985,25.02,8.66,25.069,8.779,,,,
1986,25.26,8.83,25.09,8.827,,,,
1987,25.61,8.99,25.121,8.841,,,,
1988,25.29,9.2,25.169,8.892,,,,
1989,24.86,8.92,25.127,8.911,,,,
1990,24.78,9.23,25.072,8.936,,,,
1991,25.06,9.18,25.078,8.937,,,,
1992,25.14,8.84,25.071,8.957,,,,
1993,25.06,8.87,25.107,8.941,,,,
1994,24.84,9.04,25.092,8.976,,,,
1995,25.24,9.35,25.114,9.045,,,,
1996,25.34,9.04,25.122,9.066,,,,
1997,25.21,9.2,25.082,9.087,,,,
1998,25.55,9.52,25.108,9.119,,,,
1999,25.1,9.29,25.132,9.156,,,,
2000,25.11,9.2,25.165,9.153,,,,
2001,25.34,9.41,25.193,9.176,,,,
2002,25.58,9.57,25.237,9.249,,,,
2003,25.75,9.53,25.306,9.315,,,,
2004,25.32,9.32,25.354,9.343,,,,
2005,25.09,9.7,25.339,9.378,,,,
2006,25.31,9.53,25.336,9.427,,,,
2007,25.58,9.73,25.373,9.48,,,,
2008,25.23,9.43,25.341,9.471,,,,
2009,25.87,9.51,25.418,9.493,,,,
2010,25.75,9.7,25.482,9.543,,,,
2011,25.16,9.52,25.464,9.554,,,,
2012,25.3,9.51,25.436,9.548,,,,
2013,25.85,9.61,25.446,9.556,,,,
